Tested_Number,Função_Simples,Função_Complexa
720000,0.5544,0.0161
721000,0.5572,0.016
722000,0.5563,0.0161
723000,0.5523,0.0207
724000,0.5637,0.0159
725000,0.5526,0.016
726000,0.5654,0.016
727000,0.5544,0.0162
728000,0.5838,0.016
729000,0.563,0.0164
730000,0.5621,0.0163
731000,0.5665,0.017
732000,0.5577,0.0164
733000,0.5664,0.0164
734000,0.5611,0.0164
735000,0.5689,0.0165
736000,0.5782,0.0163
737000,0.5633,0.0164
738000,0.5746,0.0162
739000,0.568,0.0165
740000,0.5785,0.0171
741000,0.5758,0.0165
742000,0.569,0.0168
743000,0.5911,0.0165
744000,0.5731,0.0165
745000,0.6003,0.0163
746000,0.5777,0.0165
747000,0.5838,0.0166
748000,0.5846,0.0168
749000,0.5778,0.0167
750000,0.5976,0.0172
751000,0.5842,0.0171
752000,0.5882,0.0176
753000,0.5879,0.0177
754000,0.5878,0.0181
755000,0.603,0.0173
756000,0.5875,0.0169
757000,0.595,0.017
758000,0.5974,0.0172
759000,0.5897,0.017
760000,0.6083,0.0172
761000,0.5948,0.0172
762000,0.5981,0.0173
763000,0.6257,0.0171
764000,0.6011,0.0175
765000,0.6129,0.0175
766000,0.6263,0.0176
767000,0.6133,0.017
768000,0.6236,0.0181
769000,0.6084,0.017
770000,0.6224,0.0171
771000,0.611,0.0172
772000,0.6089,0.0172
773000,0.6117,0.0178
774000,0.6145,0.0172
775000,0.6137,0.0176
776000,0.6162,0.0173
777000,0.6106,0.0175
778000,0.6178,0.0176
779000,0.6411,0.0175
780000,0.6265,0.0175
781000,0.6217,0.0175
782000,0.6269,0.0181
783000,0.6195,0.0176
784000,0.6247,0.0178
785000,0.6524,0.018
786000,0.6203,0.0186
787000,0.6278,0.0181
788000,0.6225,0.0185
789000,0.6367,0.0184
790000,0.6449,0.0187
791000,0.6254,0.0182
792000,0.6317,0.0185
793000,0.6326,0.0187
794000,0.6292,0.019
795000,0.665,0.0198
796000,0.6533,0.0186
797000,0.6401,0.0189
798000,0.6411,0.0186
799000,0.6422,0.0191
800000,0.6472,0.0202
801000,0.6545,0.019
802000,0.6454,0.019
803000,0.6374,0.0184
804000,0.6479,0.0189
805000,0.6585,0.0187
806000,0.6425,0.0185
807000,0.6516,0.0184
808000,0.6432,0.0191
809000,0.6514,0.0185
810000,0.658,0.0186
811000,0.6843,0.0229
812000,0.6536,0.0193
813000,0.6787,0.0195
814000,0.6859,0.0191
815000,0.6867,0.0201
816000,0.684,0.0211
817000,0.711,0.0209
818000,0.712,0.0218
819000,0.7414,0.0222
820000,0.7642,0.0218
821000,0.7897,0.0213
822000,0.7492,0.0214
823000,0.7694,0.0205
824000,0.7664,0.0212
825000,0.811,0.025
826000,0.7667,0.0207
827000,0.7456,0.0201
828000,0.6961,0.0193
829000,0.693,0.0199
830000,0.6877,0.0201
831000,0.6815,0.0194
832000,0.6838,0.0194
833000,0.6792,0.0195
834000,0.6879,0.0197
835000,0.6803,0.0193
836000,0.6845,0.0196
837000,0.6778,0.0201
838000,0.6977,0.0201
839000,0.7055,0.0198
840000,0.7058,0.0201
841000,0.6905,0.0203
842000,0.6928,0.02
843000,0.6943,0.0198
844000,0.6893,0.02
845000,0.6946,0.0198
846000,0.6965,0.0196
847000,0.6893,0.0195
848000,0.6945,0.0197
849000,0.6998,0.0195
850000,0.7008,0.025
851000,0.6959,0.0199
852000,0.6977,0.02
853000,0.7259,0.0216
854000,0.7307,0.0199
855000,0.711,0.0208
856000,0.7097,0.0207
857000,0.7067,0.0209
858000,0.701,0.02
859000,0.7079,0.0203
860000,0.714,0.0206
861000,0.7076,0.0205
862000,0.7142,0.02
863000,0.7118,0.0209
864000,0.7158,0.0204
865000,0.708,0.0204
866000,0.7193,0.021
867000,0.7536,0.0219
868000,0.7514,0.0205
869000,0.7139,0.0205
870000,0.7335,0.0202
871000,0.7876,0.0212
872000,0.7253,0.0204
873000,0.7197,0.0205
874000,0.7303,0.0205
875000,0.7346,0.0204
876000,0.7296,0.0212
877000,0.7239,0.0208
878000,0.7331,0.021
879000,0.7335,0.0211
880000,0.741,0.028
881000,0.7315,0.021
882000,0.7687,0.0212
883000,0.7415,0.0206
884000,0.7402,0.0208
885000,0.7328,0.0208
886000,0.7435,0.0212
887000,0.7484,0.0214
888000,0.7501,0.0212
889000,0.739,0.0215
890000,0.7516,0.0217
891000,0.7496,0.0211
892000,0.7535,0.0212
893000,0.7506,0.0216
894000,0.7599,0.0219
895000,0.7806,0.0215
896000,0.7554,0.022
897000,0.7498,0.022
898000,0.7551,0.0221
899000,0.7572,0.0222
900000,0.7699,0.0222
901000,0.7634,0.0222
902000,0.7582,0.0223
903000,0.7618,0.0222
904000,0.7658,0.0224
905000,0.7639,0.0225
906000,0.7614,0.022
907000,0.7693,0.0222
908000,0.798,0.0235
909000,0.7753,0.0227
910000,0.7769,0.0227
911000,0.7645,0.0227
912000,0.7737,0.0221
913000,0.7725,0.0222
914000,0.7734,0.0222
915000,0.7801,0.022
916000,0.7753,0.0222
917000,0.7794,0.0221
918000,0.7799,0.0222
919000,0.7965,0.0225
920000,0.7844,0.0233
921000,0.8075,0.0257
922000,0.7835,0.0222
923000,0.7833,0.0221
924000,0.7866,0.0225
925000,0.7792,0.0225
926000,0.7891,0.023
927000,0.7927,0.0227
928000,0.7951,0.0226
929000,0.7949,0.0227
930000,0.8042,0.023
931000,0.7942,0.0229
932000,0.7993,0.0229
933000,0.7965,0.0231
934000,0.8173,0.0231
935000,0.8086,0.0238
936000,0.7937,0.0236
937000,0.8034,0.0234
938000,0.8039,0.0237
939000,0.8143,0.0238
940000,0.8127,0.0236
941000,0.8026,0.0237
942000,0.8087,0.0236
943000,0.8106,0.0237
944000,0.8093,0.0237
945000,0.8147,0.0236
946000,0.8314,0.0266
947000,0.8257,0.0239
948000,0.8184,0.024
949000,0.8249,0.0248
950000,0.8255,0.0243
951000,0.8252,0.0239
952000,0.8258,0.0242
953000,0.8334,0.0245
954000,0.8393,0.0238
955000,0.8333,0.0243
956000,0.8365,0.0248
957000,0.8573,0.0255
958000,0.8407,0.0244
959000,0.854,0.0245
960000,0.8318,0.024
961000,0.8325,0.0243
962000,0.8337,0.024
963000,0.8326,0.0247
964000,0.8727,0.0243
965000,0.8368,0.0243
966000,0.8438,0.0244
967000,0.8409,0.025
968000,0.8526,0.0245
969000,0.8579,0.0244
970000,0.8489,0.0251
971000,0.8619,0.0247
972000,0.8445,0.0252
973000,0.8548,0.0246
974000,0.843,0.0246
975000,0.8473,0.0244
976000,0.8632,0.0244
977000,0.852,0.0248
978000,0.8547,0.0252
979000,0.8569,0.0246
980000,0.861,0.0246
981000,0.9117,0.0248
982000,0.8512,0.0247
983000,0.8805,0.0247
984000,0.8603,0.0245
985000,0.8622,0.0246
986000,0.8754,0.0247
987000,0.8645,0.0249
988000,0.866,0.0248
989000,0.8647,0.025
990000,0.8697,0.0314
991000,0.8618,0.0249
992000,0.8894,0.0251
993000,0.8716,0.0251
994000,0.8962,0.0253
995000,0.8763,0.0254
996000,0.8771,0.0255
997000,0.9002,0.0254
998000,0.8931,0.0251
999000,0.8786,0.0253
